"time","TK_101.level","TK_102.level","PB_SHUT.combiTimeTable.y[1]","PB_START.combiTimeTable.y[1]","PB_STOP.combiTimeTable.y[1]","XV_101.flow_m3s","drainRequest_m3s","time_s","transferRequest_m3s","wait_remaining_s","controller_state_id","PB_SHUT.y","PB_START.y","PB_STOP.y","valve1_cmd","valve2_cmd","valve3_cmd","PB_SHUT.realToBoolean.u","PB_START.realToBoolean.u","PB_STOP.realToBoolean.u","PLC_101.LT101_level_m","PLC_101.LT102_level_m","PLC_101.wait_remaining_s","TK_101.inflow_m3s","TK_101.level_m","TK_101.outflowRequest_m3s","TK_102.inflow_m3s","TK_102.level_m","TK_102.outflowRequest_m3s","XV_102.flow_m3s","XV_103.flow_m3s","tank1_level_m","tank2_level_m","PLC_101.controller_state_id","PB_SHUT.realToBoolean.y","PB_START.realToBoolean.y","PB_STOP.realToBoolean.y","PLC_101.shutButton","PLC_101.startButton","PLC_101.stopButton","PLC_101.valve1_cmd","PLC_101.valve2_cmd","PLC_101.valve3_cmd","XV_101.openCmd","XV_102.openCmd","XV_103.openCmd"
509.3000000000473,0.04999999989499464,142.8399996796693,0,0,0,0,0.005,509.3000000000473,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8399996796693,0,0,0.04999999989499464,0,0.04999999989499464,142.8399996796693,0.005,0,0.005,0.04999999989499464,142.8399996796693,5,0,0,0,0,0,0,0,0,1,0,0,1
509.3000000000473,0.04999999989499464,142.8399996796693,0,0,0,0,0.005,509.3000000000473,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8399996796693,0,0,0.04999999989499464,0,0.04999999989499464,142.8399996796693,0.005,0,0.005,0.04999999989499464,142.8399996796693,5,0,0,0,0,0,0,0,0,1,0,0,1
509.4,0.04999999989499464,142.8432139653745,0,0,0,0,0.005,509.4,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8432139653745,0,0,0.04999999989499464,0,0.04999999989499464,142.8432139653745,0.005,0,0.005,0.04999999989499464,142.8432139653745,5,0,0,0,0,0,0,0,0,1,0,0,1
509.4000000000473,0.04999999989499464,142.8432139653761,0,0,0,0,0.005,509.4000000000473,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8432139653761,0,0,0.04999999989499464,0,0.04999999989499464,142.8432139653761,0.005,0,0.005,0.04999999989499464,142.8432139653761,5,0,0,0,0,0,0,0,0,1,0,0,1
509.4000000000473,0.04999999989499464,142.8432139653761,0,0,0,0,0.005,509.4000000000473,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8432139653761,0,0,0.04999999989499464,0,0.04999999989499464,142.8432139653761,0.005,0,0.005,0.04999999989499464,142.8432139653761,5,0,0,0,0,0,0,0,0,1,0,0,1
509.5,0.04999999989499464,142.8464282510813,0,0,0,0,0.005,509.5,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8464282510813,0,0,0.04999999989499464,0,0.04999999989499464,142.8464282510813,0.005,0,0.005,0.04999999989499464,142.8464282510813,5,0,0,0,0,0,0,0,0,1,0,0,1
509.5000000000474,0.04999999989499464,142.8464282510828,0,0,0,0,0.005,509.5000000000474,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8464282510828,0,0,0.04999999989499464,0,0.04999999989499464,142.8464282510828,0.005,0,0.005,0.04999999989499464,142.8464282510828,5,0,0,0,0,0,0,0,0,1,0,0,1
509.5000000000474,0.04999999989499464,142.8464282510828,0,0,0,0,0.005,509.5000000000474,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8464282510828,0,0,0.04999999989499464,0,0.04999999989499464,142.8464282510828,0.005,0,0.005,0.04999999989499464,142.8464282510828,5,0,0,0,0,0,0,0,0,1,0,0,1
509.6,0.04999999989499464,142.8496425367881,0,0,0,0,0.005,509.6,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8496425367881,0,0,0.04999999989499464,0,0.04999999989499464,142.8496425367881,0.005,0,0.005,0.04999999989499464,142.8496425367881,5,0,0,0,0,0,0,0,0,1,0,0,1
509.6000000000474,0.04999999989499464,142.8496425367896,0,0,0,0,0.005,509.6000000000474,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8496425367896,0,0,0.04999999989499464,0,0.04999999989499464,142.8496425367896,0.005,0,0.005,0.04999999989499464,142.8496425367896,5,0,0,0,0,0,0,0,0,1,0,0,1
509.6000000000474,0.04999999989499464,142.8496425367896,0,0,0,0,0.005,509.6000000000474,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8496425367896,0,0,0.04999999989499464,0,0.04999999989499464,142.8496425367896,0.005,0,0.005,0.04999999989499464,142.8496425367896,5,0,0,0,0,0,0,0,0,1,0,0,1
509.7,0.04999999989499464,142.8528568224949,0,0,0,0,0.005,509.7,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8528568224949,0,0,0.04999999989499464,0,0.04999999989499464,142.8528568224949,0.005,0,0.005,0.04999999989499464,142.8528568224949,5,0,0,0,0,0,0,0,0,1,0,0,1
509.7000000000474,0.04999999989499464,142.8528568224964,0,0,0,0,0.005,509.7000000000474,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8528568224964,0,0,0.04999999989499464,0,0.04999999989499464,142.8528568224964,0.005,0,0.005,0.04999999989499464,142.8528568224964,5,0,0,0,0,0,0,0,0,1,0,0,1
509.7000000000474,0.04999999989499464,142.8528568224964,0,0,0,0,0.005,509.7000000000474,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8528568224964,0,0,0.04999999989499464,0,0.04999999989499464,142.8528568224964,0.005,0,0.005,0.04999999989499464,142.8528568224964,5,0,0,0,0,0,0,0,0,1,0,0,1
509.8,0.04999999989499464,142.8560711082016,0,0,0,0,0.005,509.8,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8560711082016,0,0,0.04999999989499464,0,0.04999999989499464,142.8560711082016,0.005,0,0.005,0.04999999989499464,142.8560711082016,5,0,0,0,0,0,0,0,0,1,0,0,1
509.8000000000474,0.04999999989499464,142.8560711082032,0,0,0,0,0.005,509.8000000000474,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8560711082032,0,0,0.04999999989499464,0,0.04999999989499464,142.8560711082032,0.005,0,0.005,0.04999999989499464,142.8560711082032,5,0,0,0,0,0,0,0,0,1,0,0,1
509.8000000000474,0.04999999989499464,142.8560711082032,0,0,0,0,0.005,509.8000000000474,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8560711082032,0,0,0.04999999989499464,0,0.04999999989499464,142.8560711082032,0.005,0,0.005,0.04999999989499464,142.8560711082032,5,0,0,0,0,0,0,0,0,1,0,0,1
509.9,0.04999999989499464,142.8592853939084,0,0,0,0,0.005,509.9,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8592853939084,0,0,0.04999999989499464,0,0.04999999989499464,142.8592853939084,0.005,0,0.005,0.04999999989499464,142.8592853939084,5,0,0,0,0,0,0,0,0,1,0,0,1
509.9000000000474,0.04999999989499464,142.8592853939099,0,0,0,0,0.005,509.9000000000474,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8592853939099,0,0,0.04999999989499464,0,0.04999999989499464,142.8592853939099,0.005,0,0.005,0.04999999989499464,142.8592853939099,5,0,0,0,0,0,0,0,0,1,0,0,1
