"time","tank1.level","tank2.level","der(tank1.level)","der(tank2.level)","PLC_101.waitElapsed","shutCmd.combiTimeTable.y[1]","startCmd.combiTimeTable.y[1]","stopCmd.combiTimeTable.y[1]","tank1.qOut","tank2.qOut","valve1.flowOut","valve1_open","valve2.flowOut","valve2_open","valve3.flowOut","valve3_open","PLC_101.remainingWait","PLC_101.tEnter","PLC_101.mode","PLC_101.resumeMode","controller_state","PLC_101.shutPulse","PLC_101.shutSample","PLC_101.startPulse","PLC_101.startSample","PLC_101.stopPulse","PLC_101.stopSample","PLC_101.valve1Cmd","PLC_101.valve2Cmd","PLC_101.valve3Cmd","shutCmd.y","startCmd.y","stopCmd.y","PLC_101.tank1Level","PLC_101.tank2Level","shutCmd.realToBoolean.u","startCmd.realToBoolean.u","stopCmd.realToBoolean.u","tank1.inflow","tank1.levelOut","tank1.outflowCmd","tank1_level_m","tank2.inflow","tank2.levelOut","tank2.outflowCmd","tank2_level_m","PLC_101.controller_state","PLC_101.shutButton","PLC_101.startButton","PLC_101.stopButton","shutCmd.realToBoolean.y","startCmd.realToBoolean.y","stopCmd.realToBoolean.y","valve1.openCmd","valve2.openCmd","valve3.openCmd"
451.9000000000343,0.04999999989497447,0.6860714292323105,0,-0.003571428571428572,11.89999988536806,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6860714292323105,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6860714292323105,0.005,0.6860714292323105,6,0,0,0,0,0,0,0,0,1
452.0000000000343,0.04999999989497447,0.6857142863751675,0,-0.003571428571428572,11.99999988536808,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6857142863751675,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6857142863751675,0.005,0.6857142863751675,6,0,0,0,0,0,0,0,0,1
452.0000000000343,0.04999999989497447,0.6857142863751675,0,-0.003571428571428572,11.99999988536808,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6857142863751675,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6857142863751675,0.005,0.6857142863751675,6,0,0,0,0,0,0,0,0,1
452.1000000000343,0.04999999989497447,0.6853571435180246,0,-0.003571428571428572,12.09999988536811,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6853571435180246,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6853571435180246,0.005,0.6853571435180246,6,0,0,0,0,0,0,0,0,1
452.1000000000343,0.04999999989497447,0.6853571435180246,0,-0.003571428571428572,12.09999988536811,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6853571435180246,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6853571435180246,0.005,0.6853571435180246,6,0,0,0,0,0,0,0,0,1
452.2000000000343,0.04999999989497447,0.6850000006608816,0,-0.003571428571428572,12.19999988536813,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6850000006608816,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6850000006608816,0.005,0.6850000006608816,6,0,0,0,0,0,0,0,0,1
452.2000000000343,0.04999999989497447,0.6850000006608816,0,-0.003571428571428572,12.19999988536813,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6850000006608816,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6850000006608816,0.005,0.6850000006608816,6,0,0,0,0,0,0,0,0,1
452.3000000000343,0.04999999989497447,0.6846428578037387,0,-0.003571428571428572,12.29999988536815,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6846428578037387,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6846428578037387,0.005,0.6846428578037387,6,0,0,0,0,0,0,0,0,1
452.3000000000343,0.04999999989497447,0.6846428578037387,0,-0.003571428571428572,12.29999988536815,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6846428578037387,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6846428578037387,0.005,0.6846428578037387,6,0,0,0,0,0,0,0,0,1
452.4000000000344,0.04999999989497447,0.6842857149465957,0,-0.003571428571428572,12.39999988536817,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6842857149465957,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6842857149465957,0.005,0.6842857149465957,6,0,0,0,0,0,0,0,0,1
