"time","capacitor.v","inductor.i","der(capacitor.v)","der(inductor.i)","ground.p.i","ground.p.v","idealSwitch.LossPower","idealSwitch.T_heatPort","idealSwitch.v","inductor.v","resistor.LossPower","resistor.R_actual","resistor.n.v","resistor.v","switch_closed","idealSwitch.control","capacitor.i","capacitor.n.i","capacitor.n.v","capacitor.p.i","capacitor.p.v","capacitor_voltage_V","idealSwitch.i","idealSwitch.n.i","idealSwitch.n.v","idealSwitch.p.i","idealSwitch.p.v","inductor.n.i","inductor.n.v","inductor.p.i","inductor.p.v","loop_current_A","resistor.i","resistor.n.i","resistor.p.i","resistor.p.v","scheduledSwitch.closed"
45,-0.07661838136005676,-0.1588408020092175,-0.1588408020092175,0.1083867006027023,0,0,2.523040038293143e-08,293.15,-1.588408020092175e-07,0.1083867006027023,0.005046080076586286,0.2,0.03176831924264551,-0.0317681604018435,1,1,-0.1588408020092175,0.1588408020092175,0,-0.1588408020092175,-0.07661838136005676,-0.07661838136005676,-0.1588408020092175,0.1588408020092175,1.588408020092175e-07,-0.1588408020092175,0,0.1588408020092175,-0.07661838136005676,-0.1588408020092175,0.03176831924264551,-0.1588408020092175,-0.1588408020092175,0.1588408020092175,-0.1588408020092175,1.588408020092175e-07,1
45.15,-0.09915079962668162,-0.1411182438809794,-0.1411182438809794,0.1273745895211214,0,0,1.991435875605158e-08,293.15,-1.411182438809794e-07,0.1273745895211214,0.003982871751210317,0.2,0.02822378989443976,-0.02822364877619588,1,1,-0.1411182438809794,0.1411182438809794,0,-0.1411182438809794,-0.09915079962668162,-0.09915079962668162,-0.1411182438809794,0.1411182438809794,1.411182438809794e-07,-0.1411182438809794,0,0.1411182438809794,-0.09915079962668162,-0.1411182438809794,0.02822378989443976,-0.1411182438809794,-0.1411182438809794,0.1411182438809794,-0.1411182438809794,1.411182438809794e-07,1
45.3,-0.1188236177437737,-0.1207973680063148,-0.1207973680063148,0.1429832121424046,0,0,1.459200411725306e-08,293.15,-1.207973680063148e-07,0.1429832121424046,0.002918400823450611,0.2,0.02415959439863098,-0.02415947360126297,1,1,-0.1207973680063148,0.1207973680063148,0,-0.1207973680063148,-0.1188236177437737,-0.1188236177437737,-0.1207973680063148,0.1207973680063148,1.207973680063148e-07,-0.1207973680063148,0,0.1207973680063148,-0.1188236177437737,-0.1207973680063148,0.02415959439863098,-0.1207973680063148,-0.1207973680063148,0.1207973680063148,-0.1207973680063148,1.207973680063148e-07,1
45.45,-0.1352860905368737,-0.0984045464998365,-0.0984045464998365,0.1549670982413875,0,0,9.683454771838483e-09,293.15,-9.840454649983649e-08,0.1549670982413875,0.001936690954367697,0.2,0.0196810077045138,-0.0196809092999673,1,1,-0.0984045464998365,0.0984045464998365,0,-0.0984045464998365,-0.1352860905368737,-0.1352860905368737,-0.0984045464998365,0.0984045464998365,9.840454649983649e-08,-0.0984045464998365,0,0.0984045464998365,-0.1352860905368737,-0.0984045464998365,0.0196810077045138,-0.0984045464998365,-0.0984045464998365,0.0984045464998365,-0.0984045464998365,9.840454649983649e-08,1
45.6,-0.1482688976042886,-0.07449644735628433,-0.07449644735628433,0.1631682615719928,0,0,5.549720668707642e-09,293.15,-7.449644735628432e-08,0.1631682615719928,0.001109944133741529,0.2,0.01489936396770422,-0.01489928947125687,1,1,-0.07449644735628433,0.07449644735628433,0,-0.07449644735628433,-0.1482688976042886,-0.1482688976042886,-0.07449644735628433,0.07449644735628433,7.449644735628432e-08,-0.07449644735628433,0,0.07449644735628433,-0.1482688976042886,-0.07449644735628433,0.01489936396770422,-0.07449644735628433,-0.07449644735628433,0.07449644735628433,-0.07449644735628433,7.449644735628432e-08,1
45.75,-0.1575876492222249,-0.04964680369576964,-0.04964680369576964,0.1675170596081825,0,0,2.464805117206286e-09,293.15,-4.964680369576964e-08,0.1675170596081825,0.0004929610234412573,0.2,0.009929410385957625,-0.009929360739153929,1,1,-0.04964680369576964,0.04964680369576964,0,-0.04964680369576964,-0.1575876492222249,-0.1575876492222249,-0.04964680369576964,0.04964680369576964,4.964680369576964e-08,-0.04964680369576964,0,0.04964680369576964,-0.1575876492222249,-0.04964680369576964,0.009929410385957625,-0.04964680369576964,-0.04964680369576964,0.04964680369576964,-0.04964680369576964,4.964680369576964e-08,1
45.9,-0.1631444605237164,-0.02443322397290905,-0.02443322397290905,0.1680311297515222,0,0,5.969824337103373e-10,293.15,-2.443322397290904e-08,0.1680311297515222,0.0001193964867420675,0.2,0.004886669227805782,-0.004886644794581809,1,1,-0.02443322397290905,0.02443322397290905,0,-0.02443322397290905,-0.1631444605237164,-0.1631444605237164,-0.02443322397290905,0.02443322397290905,2.443322397290904e-08,-0.02443322397290905,0,0.02443322397290905,-0.1631444605237164,-0.02443322397290905,0.004886669227805782,-0.02443322397290905,-0.02443322397290905,0.02443322397290905,-0.02443322397290905,2.443322397290904e-08,1
46.05,-0.1649275960329563,0.0005757072682070334,0.0005757072682070334,0.1648124540036076,0,0,3.31438858666405e-13,293.15,5.757072682070333e-10,0.1648124540036076,6.628777173328101e-08,0.2,-0.0001151420293486749,0.0001151414536414067,1,1,0.0005757072682070334,-0.0005757072682070334,0,0.0005757072682070334,-0.1649275960329563,-0.1649275960329563,0.0005757072682070334,-0.0005757072682070334,-5.757072682070333e-10,0.0005757072682070334,0,-0.0005757072682070334,-0.1649275960329563,0.0005757072682070334,-0.0001151420293486749,0.0005757072682070334,0.0005757072682070334,-0.0005757072682070334,0.0005757072682070334,-5.757072682070333e-10,1
46.2,-0.1630091230387744,0.0248327291362201,0.0248327291362201,0.1580425523788012,0,0,6.166644363528748e-10,293.15,2.48327291362201e-08,0.1580425523788012,0.000123332887270575,0.2,-0.004966570659973157,0.004966545827244021,1,1,0.0248327291362201,-0.0248327291362201,0,0.0248327291362201,-0.1630091230387744,-0.1630091230387744,0.0248327291362201,-0.0248327291362201,-2.48327291362201e-08,0.0248327291362201,0,-0.0248327291362201,-0.1630091230387744,0.0248327291362201,-0.004966570659973157,0.0248327291362201,0.0248327291362201,-0.0248327291362201,0.0248327291362201,-2.48327291362201e-08,1
46.35,-0.1575409020438764,0.04782340100516789,0.04782340100516789,0.1479761740194418,0,0,2.287077683701093e-09,293.15,4.782340100516788e-08,0.1479761740194418,0.0004574155367402186,0.2,-0.009564728024434583,0.009564680201033578,1,1,0.04782340100516789,-0.04782340100516789,0,0.04782340100516789,-0.1575409020438764,-0.1575409020438764,0.04782340100516789,-0.04782340100516789,-4.782340100516788e-08,0.04782340100516789,0,-0.04782340100516789,-0.1575409020438764,0.04782340100516789,-0.009564728024434583,0.04782340100516789,0.04782340100516789,-0.04782340100516789,0.04782340100516789,-4.782340100516788e-08,1
