"time","plant.h1","plant.h2","der(plant.h1)","der(plant.h2)","controller.activeWaitDuration","controller.waitElapsed","controller_state_id","shutSchedule.combiTimeTable.y[1]","startSchedule.combiTimeTable.y[1]","stopSchedule.combiTimeTable.y[1]","time_s","u1Real.y","u2Real.y","u3Real.y","valve1_open_cmd","valve2_open_cmd","valve3_open_cmd","wait_remaining_s","controller.storedWaitRemaining","controller.tEnter","controller.mode","controller.resumeMode","controller.shutButton","controller.shutPulse","controller.startButton","controller.startPulse","controller.stopButton","controller.stopPulse","controller.valve1","controller.valve2","controller.valve3","controller.controller_state_id","controller.level1","controller.level2","controller.wait_remaining_s","plant.tank1_level_m","plant.tank2_level_m","plant.u1","plant.u2","plant.u3","shutSchedule.realToBoolean.u","startSchedule.realToBoolean.u","stopSchedule.realToBoolean.u","tank1_level_m","tank2_level_m","valve1CmdReal.y","valve2CmdReal.y","valve3CmdReal.y","shutSchedule.realToBoolean.y","shutSchedule.y","startSchedule.realToBoolean.y","startSchedule.y","stopSchedule.realToBoolean.y","stopSchedule.y","u1Real.u","u2Real.u","u3Real.u","valve1CmdReal.u","valve2CmdReal.u","valve3CmdReal.u"
46.8,0.1839999999894971,0.05,0.005,0,0,26.79999999789942,1,0,0,0,46.8,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.1839999999894971,0.05,0,0.1839999999894971,0.05,1,0,0,0,0,0,0.1839999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
47.7,0.1884999999894971,0.05,0.005,0,0,27.69999999789943,1,0,0,0,47.7,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.1884999999894971,0.05,0,0.1884999999894971,0.05,1,0,0,0,0,0,0.1884999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
48.6,0.1929999999894971,0.05,0.005,0,0,28.59999999789943,1,0,0,0,48.6,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.1929999999894971,0.05,0,0.1929999999894971,0.05,1,0,0,0,0,0,0.1929999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
49.5,0.1974999999894971,0.05,0.005,0,0,29.49999999789943,1,0,0,0,49.5,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.1974999999894971,0.05,0,0.1974999999894971,0.05,1,0,0,0,0,0,0.1974999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
50.4,0.2019999999894971,0.05,0.005,0,0,30.39999999789942,1,0,0,0,50.4,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.2019999999894971,0.05,0,0.2019999999894971,0.05,1,0,0,0,0,0,0.2019999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
51.3,0.2064999999894971,0.05,0.005,0,0,31.29999999789942,1,0,0,0,51.3,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.2064999999894971,0.05,0,0.2064999999894971,0.05,1,0,0,0,0,0,0.2064999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
52.2,0.2109999999894971,0.05,0.005,0,0,32.19999999789943,1,0,0,0,52.2,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.2109999999894971,0.05,0,0.2109999999894971,0.05,1,0,0,0,0,0,0.2109999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
53.1,0.2154999999894971,0.05,0.005,0,0,33.09999999789943,1,0,0,0,53.1,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.2154999999894971,0.05,0,0.2154999999894971,0.05,1,0,0,0,0,0,0.2154999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
54,0.2199999999894971,0.05,0.005,0,0,33.99999999789942,1,0,0,0,54,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.2199999999894971,0.05,0,0.2199999999894971,0.05,1,0,0,0,0,0,0.2199999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
54.9,0.2244999999894971,0.05,0.005,0,0,34.89999999789943,1,0,0,0,54.9,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.2244999999894971,0.05,0,0.2244999999894971,0.05,1,0,0,0,0,0,0.2244999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
