time_s,I_rms_A,mmf_At,Phi_core_Wb,Phi_gap_Wb,Phi_leak_Wb,B_core_T,B_gap_T,H_core_A_m,H_gap_A_m,Vm_core_At,Vm_gap_At,U_exc_induced_V_rms,U_meas_induced_signed_V_rms,Phi_gap_over_Phi_core
0.57,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.575,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.58,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.585,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.59,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.595,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.6,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.605,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.61,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.615,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.62,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.625,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.63,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.635,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.64,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.645,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.65,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.655,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.66,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.665,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.67,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.675,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.68,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.685,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.69,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.695,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.7,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.705,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.71,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.715,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.72,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.725,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.73,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.735,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.74,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.745,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.75,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.755,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.76,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.765,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.77,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.775,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.78,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.785,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.79,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.795,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.8,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
0.805,2.0,1200.0,0.0005249354167056515,0.00048294058336919936,4.1994833336452115e-05,0.8398966667290422,0.7727049333907189,556.9737758180554,614899.0485031332,277.6514272453006,922.3485727546998,98.94799492389429,-7.586012944165229,0.92
